input_prompt,question,correct_answers,output_prediction,processed_answer
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?\nA:""]","Which film starring Will Smith, Bill Pullman and Jeff Goldblum was the world's highest grossing film of 1996?","['independence day', 'independence day', 'independence days', 'عيد الاستقلال', 'independance day', 'independance day', 'independence day', 'independence day', 'timeline of national foundings', 'list of independence days', 'list of nations by independence day', 'list of countries by independence day', 'list of national independence days', 'independents day']"," Independence Day
Q: What is the", Independence Day
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which opera by Borodin features the Polovtsian Dances?\nA:""]",Which opera by Borodin features the Polovtsian Dances?,"['prince igor', 'prince igor']"," Prince Igor
Q: What is the", Prince Igor
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In which 1995 film does Robert Carlisle play the character Begbie?\nA:""]",In which 1995 film does Robert Carlisle play the character Begbie?,"['trainspotting disambiguation', 'trainspotting']"," Trainspotting
Q: Which", Trainspotting
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ‘Bellis perennis’ is the Latin name for which flower?\nA:""]",‘Bellis perennis’ is the Latin name for which flower?,"['daisy film', 'daisy flower', 'daisy', 'daisy album', 'daisy disambiguation', 'daisies']"," Daisies
Q: What is", Daisies
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who was the French composer of the ballet Giselle?\nA:""]",Who was the French composer of the ballet Giselle?,"['adolphe adam', 'adolphe adams', 'ballets by adolphe adam', 'adolphe charles adam', 'adam adolphe charles', 'adolphecharles adam']"," Adolphe Adam
Q: What", Adolphe Adam
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who is the current Secretary-General of the United Nations ?\nA:""]",Who is the current Secretary-General of the United Nations ?,"['ban kimun', 'ban kimoon', 'banki moon', 'ban ki mun', 'kimoon ban', 'ban kaimoon', 'ban kee mun', 'criticism of ban kimoon', 'bonky moon', 'his excellency ban ki moon', 'gimun ban', 'kimoon ban', 'ban ki moon', 'pan jiwen', 'pan ki mun', 'ban kimoon', 'banchusa', 'ban gimun', 'ban kee moon', 'ban ki moon', 'pan kimun', 'pan kimun', 'gimun ban', 'ban ki mun', 'banky moon', '潘基文', '반기문', 'ki moon ban', 'ban kimoon', 'ban kimoon', 'ban gimun', 'ban gi mun', 'banki moon', 'ban gimun', 'ban ki moon', 'ban kaimoon']"," Kofi Annan
Q: What", Kofi Annan
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the meaning of the Arabic word 'Hezbollah', the Shi'ite Muslim group?\nA:""]","What is the meaning of the Arabic word 'Hezbollah', the Shi'ite Muslim group?","['khizbollah', 'herzbollah', 'organization of oppressed on earth', 'hesbolla', 'hezboolah', 'hezbollah external security organization', 'hezbollah', 'organization of right against wrong', 'hezb allah', 'hezbulla', 'hezbollah external security organisation', 'hezzbollah', 'hizbula moslem religion social and terror organization', 'hezbula', 'ḥizbullāh', 'hizbulla', 'hizbalah', 'hizb allah', 'hizbolla', 'hisbollah', 'hezballah', 'hezbolla', 'party of god', 'huzbollah', 'hez ballah', 'hizbullah', 'hizbullah', 'hezbola', 'party of god lebanon', 'hizballah', 'hesbollah', 'hizbollah', 'hezballah', 'revolutionary justice organization', 'hizballahs external security organisation', 'hizbullah', 'party of allah', 'hezbollah lebanon', 'hizballa', 'hizballah', 'hezbolah', 'hezballa', 'hezbullah', 'hesbola']"," 'Party of God'
Q: What", 'Party of God'
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which bridge connects Detroit, Michigan, USA and Windsor, Ontario, Canada?\nA:""]","Which bridge connects Detroit, Michigan, USA and Windsor, Ontario, Canada?","['canada transit company', 'detroit international bridge company', 'wpyf269', 'canadian transit company', 'ambassador international bridge', 'ambassador bridge', 'ambassador bridge', 'ambassador bridge']"," Ambassador Bridge
Q: What is the", Ambassador Bridge
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who does the commentary in the UK tv programme ‘Come Dine With Me’?\nA:""]",Who does the commentary in the UK tv programme ‘Come Dine With Me’?,"['dave lamb', 'dave lamb']"," Dave Lamb
Q: What is the", Dave Lamb
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Minyan is a quorum of ten adult males required for public worship in?\nA:""]",Minyan is a quorum of ten adult males required for public worship in?,"['moshe la khaim eche laerry la jewess', 'judismo', 'jewish religion', 'religous jews', 'judaity', 'jewish communities', 'jewish faith', 'juadaism', 'judiasm', 'judaism', 'synagogue', 'jewdaism', 'judaistic', 'ancient judaism', 'hebrew religion', 'jewishism', 'judaic', 'jewism', 'mosaic faith', 'judism', 'jewish family', 'judeo', 'jewish spirituality', 'juddaism', 'juadism', 'judaism reform', 'judaisem', 'jewish tradition', 'judaisam', 'judasim', 'judaically', 'jewish religion', 'judaical', 'judaist', 'jewishm', 'jewish faith', 'jewish tradition', 'ancient hebrew religion', 'jewity', 'jew worship', 'judaists', 'jewish community', 'beliefs of jews']"," Judaism
Q: Who was the first", Judaism
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the name of the device made of wood and horsehair that is used to play a violin?\nA:""]",What is the name of the device made of wood and horsehair that is used to play a violin?,"['bows', 'bow disambiguation', 'bow']"," Bow
Q: What is the name", Bow
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which king, born in 1457, was the last king of England to be born in Wales?\nA:""]","Which king, born in 1457, was the last king of England to be born in Wales?","['hendrik vii', 'heindrik vii', 'henry vii disambiguation', 'heinrich vii', 'henry seventh', 'henry 7', 'henry vii', 'henry vii']"," Henry VII
Q: What is the", Henry VII
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Who wrote ‘The Forsyte Saga’?\nA:""]",Who wrote ‘The Forsyte Saga’?,"['galsworthy', 'john galsworthy', 'john galsworthy', 'fugitive galsworthy play', 'galsworthian', 'john galsworthy om', 'galsworthy john', 'john galsworthy om']"," John Galsworthy
Q: What", John Galsworthy
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: 'Eureka', the National Children's Museum is in which town?\nA:""]","'Eureka', the National Children's Museum is in which town?","['community of halifax', 'halifax disambiguation', 'haligonians', 'haligonian', 'halifax nova scotia disambiguation', 'halifax', 'halifax community']"," Baltimore
Q: Who was the first", Baltimore
"['Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world\'s biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: ""The """"Hall of Mirrors"""" is in which building?""\nA:']","""The """"Hall of Mirrors"""" is in which building?""","['palais de versailles', 'palace of versailles', 'musee national du chateau de versailles et des trianons', 'palace and park of versailles', 'chateau of versailles', 'versailles', 'museum of history of france versailles', 'city of versailles', 'palace of versailles', 'musée de versailles', 'musée national du château de versailles', 'versailles castle', 'musée d’histoire de france', 'palais versailles', 'château de versailles', 'residence of versailles', 'schloss versailles', 'musée national du château de versailles et des trianons', 'versailles museum', 'galerie de versailles', 'chateau de versailles', 'château of versailles', 'palaceofversailles', 'musée national du château et des trianons', 'musée dhistoire de france', 'chateau versailles', 'versailles palace', 'palace of versailles', 'musée historique de versailles']"," The Palace of Versailles
Q:", The Palace of Versailles
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: In physics, what is a substance that continually deforms/flows under applied stress, including liquids, gases and plasmas?\nA:""]","In physics, what is a substance that continually deforms/flows under applied stress, including liquids, gases and plasmas?","['fluid', 'fluids']"," Fluids
Q: What is the", Fluids
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the name of the agreement under which passport controls have been abolished in 22 EU and 4 non-EU states?\nA:""]",What is the name of the agreement under which passport controls have been abolished in 22 EU and 4 non-EU states?,"['schengen', 'schenigen', 'schengen disambiguation', 'schenghen', 'shengen']"," Schengen Agreement
Q: What", Schengen Agreement
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which letter of the Greek alphabet when written looks like a capital P ?\nA:""]",Which letter of the Greek alphabet when written looks like a capital P ?,"['ρ', 'rho subclass', 'rho', '5crho', 'rho letter', 'ρώ', 'rho', 'rho greek', 'ϼ']"," Pi
Q: Who was the first", Pi
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which real life astronaut was played by Tom Hanks in the film 'Apollo 13'?\nA:""]",Which real life astronaut was played by Tom Hanks in the film 'Apollo 13'?,"['james arthur lovell', 'jim arthur lovell jr', 'james arthur lovell jr', 'jim lovell', 'james arthur lovell jr', 'james lovell', 'james lovell astronaut', 'james lovell jr', 'marilyn lovell', 'james lovell jr', 'james lovell jr']"," Jim Lovell
Q: In which", Jim Lovell
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Sandygate Road football and cricket stadium is in which English city?\nA:""]",Sandygate Road football and cricket stadium is in which English city?,"['county borough of sheffield', 'sheffield england', 'city of sheffield', 'metropolitan borough of sheffield', 'sheffield', 'sheffield uk', 'unlocodegbshe', 'sheffield uk', 'hucklow primary school', 'sheffield england', 'sheffield borough', 'sheffield great britain', 'sheffield united kingdom', 'shefield', 'sheffield city', 'sheffield district']"," Sheffield
Q: Who was the first", Sheffield
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What element is mixed with Iron to make cast iron?\nA:""]",What element is mixed with Iron to make cast iron?,"['carbon atom', 'kohlenstoff', 'carbon atom', 'carbons', 'carbon atoms', 'carbonaceous', 'carbon unit', 'carbonous', 'history of carbon', 'carbon element', 'atomic number 6', 'c element', 'carbonic', 'carbon']"," Carbon
Q: Who was the first", Carbon
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Which author?s son was killed in World War I, events depicted in the TV film called My Boy Jack?\nA:""]","Which author?s son was killed in World War I, events depicted in the TV film called My Boy Jack?","['joseph rudyard kipling', 'kiplingesque', 'rudyard kipling', 'kipling rudyard', 'rudy kipling', 'r kipling', 'kipling', 'kipling joseph rudyard', 'kiplingian', 'r kipling', 'ruyard kipling', 'rudyard kipling', 'kipling society', 'bard of empire', 'rudyard kipling author']"," Rudyard Kipling
Q:", Rudyard Kipling
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: What is the county town of Mayo?\nA:""]",What is the county town of Mayo?,"['catlebar', 'castle of barry family', 'castle bar', 'caisleán bharraigh', 'caislean bharraigh', 'castlebar', 'castlebar mayo', 'castle bar', 'cornanool']"," Castlebar
Q: What is the", Castlebar
"[""Answer these questions:\nQ: Who was President when the first Peanuts cartoon was published?\nA: Harry Truman\nQ: Which American-born Sinclair won the Nobel Prize for Literature in 1930?\nA: Sinclair Lewis\nQ: Where in England was Dame Judi Dench born?\nA: York\nQ: William Christensen of Madison, New Jersey, has claimed to have the world's biggest collection of what?\nA: Beer Cans\nQ: In which decade did Billboard magazine first publish and American hit chart?\nA: 30s\nQ: Alfred Munnings was famous for his paintings of what?\nA:""]",Alfred Munnings was famous for his paintings of what?,"['horses', 'horse', 'equus caballus aryanus', 'equus caballus parvus', 'equus caballus asiaticus', 'horsie', 'horſe', '🐎', 'equus ferus caballus', 'equus caballus cracoviensis', 'domestic horse', 'equus caballus ewarti', 'equus laurentius', 'equus caballus typicus', 'hot blooded horse', 'equus caballus domesticus', 'horses', 'equus caballus nehringi', 'equine quadruped', 'nag horse', 'cold blooded horse', '🐴', 'equus caballus nordicus', 'equus caballus europaeus', 'equus caballus libycus', 'equus caballus', 'equus caballus robustus', 'equus caballus belgius', 'equus caballus africanus', 'equus cabalus', 'equus caballus brittanicus', 'equus caballus hibernicus', 'equine studies', 'domesticated horse', 'equine quadraped', 'equus caballus varius', 'equus caballus gallicus', 'equus caballus gracilis', 'domestic horse', 'horsies', 'equus caballus celticus', 'equines', 'equus caballus sylvestris']"," Horses
Q: Who was the", Horses
