input_prompt,question,correct_answers,output_prediction,processed_answer
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which British submarine sank the General Belgrano in the Falklands War
A:",Which British submarine sank the General Belgrano in the Falklands War,['hms conqueror']," HMS Conqueror
Q: What is the name of the head of the", HMS Conqueror
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Italy is divided into how many regions?
A:",Italy is divided into how many regions?,"['20', 'twenty']"," about 20
Q: What is the name of the head of state of", about 20
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which Italian pasta's name means little spindles in English?
A:",Which Italian pasta's name means little spindles in English?,"['fusili', 'fusilli']"," Ragù alla Bolognese from Bologna
Q: What is the", Ragù alla Bolognese from Bologna
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""
A:","""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""","['chicago orphans', 'chicaco cubs', 'lovable losers', 'chicago cubs sports', 'pat and ron show', 'cubs', 'chicago national league ball club', 'chicago cubs', 'chicago cubbies', 'list of chicago cubs captains', 'cubs baseball', 'cubbies', 'chicago colts', 'chicago national league club', 'take me out to cubs game']"," a baseball team
Q: What is the name of the head of the U", a baseball team
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Amr Shabana from Egypt is famous for playing which sport?
A:",Amr Shabana from Egypt is famous for playing which sport?,"['squash', 'squash disambiguation', 'squashes']"," Tennis
Q: What is the name of the head of Samoa?
Q:", Tennis
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: James A Michener wrote the stories upon which musical was based?
A:",James A Michener wrote the stories upon which musical was based?,"['south pacific', 'south pacific disambiguation', 'south pacific film']"," ""The Flower Drum Song""
Q: What is the name of the head of"," ""The Flower Drum Song"""
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Ascorbic acid is usually known as what?
A:",Ascorbic acid is usually known as what?,"['kyselina askorbova', 'vitamin c', 'scorbacid', 'cebicure', 'vitamin c foundation', 'vitacimin', 'cescorbat', 'ciamin', 'cebion', 'cecon', 'ascorbicap', 'vitamisin', 'list of foods containing vitamin c', 'xitix', 'cetebe', 'cetamid', 'cetane caps td', 'antiscorbic vitamin', 'cevex', 'c long', 'cetane caps tc', 'ce lent', 'davitamon c', 'ascorbate metabolism', 'vit c', 'l ascorbate', 'cevitex', 'cee caps td', 'vitimin c', 'evolution of vitamin c', 'ascor b i d', 'cevimin', 'vitace', 'ascorbicab', 'laroscorbine', 'cantaxin', 'sodascorbate', 'ascorteal', 'cemill', 'ascorbajen', 'allercorb', 'catavin c', 'colascor', 'cantan', 'meri c', 'cemagyl', 'cewin', 'viscorin', 'ascorbutina', 'ascorvit', 'ceglion', 'planavit c', 'vitamine c', 'vitascorbol', 'cevitamin', 'cevitan', 'antiscorbutic vitamin', 'hicee', 'vicelat', 'cevatine', 'ascorbicin', 'cipca', 'vitacee', 'roscorbic', 'c vitamin', 'cereon', 'scorbu c', 'liqui cee', 'cevitamic acid', 'ido c', 'ascorb', 'secorbate', 'arco cee', 'duoscorb', 'vitamin c overdose', 'cee vite', 'cevi bid', 'vitacin', 'c quin', 'c vimin', 'ascorbin', 'cebione', 'cenolate', 'adenex', 'lemascorb', 'natrascorb', 'ascoltin', 'celaskon', 'cevalin', 'concemin', 'proscorbin', 'citriscorb', 'ascorbate', 'cegiolan', 'viforcit', 'vicin', 'vicomin c', 'cenetone', 'testascorbic', 'cetemican', 'ascorin', 'hybrin', 'c level', 'r 3 4 dihydroxy 5 s 1 2 dihydroxyethyl furan 2 5h one', 'cergona']", Pyridoxine (Vitamin B6)<|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|>, Pyridoxine (Vitamin B6)<|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|><|end_of_text|>
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: When Alex Ferguson joined Manchester United on November 6th 1986, who was manager of Liverpool?
A:","When Alex Ferguson joined Manchester United on November 6th 1986, who was manager of Liverpool?","['kenny daglish', 'kenny dalglish', 'kenneth mathieson 22kenny 22 dalglish', 'kenneth dalglish', 'king kenny', 'kenneth mathieson 22kenny 22 dalglish mbe']"," Bill Shankly
Q: What was the name of the head of the Royal", Bill Shankly
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which country is known as The Hashemite Kingdom?
A:",Which country is known as The Hashemite Kingdom?,"['urdunn', 'kingdom of jordan', 'al mamlakah al', 'languages of jordan', 'h k of jordan', 'jordanian kingdom', 'administrative divisions of jordan', 'jordanie', 'state of jordan', 'الأردن', 'hashemite kingdom of transjordan', 'أردنّ', 'المملكة الأردنّيّة الهاشميّة', 'jordan country', 'urdun', 'ottoman jordon', 'iso 3166 1 jo', 'al urdun', 'jordan', 'al urdunn', 'etymology of jordan', 'hkj', 'hashemite kingdom of jordan']", The Hashemite Kingdom of Jordan is a landlocked country in the Middle East, The Hashemite Kingdom of Jordan is a landlocked country in the Middle East
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which modern day country was known until 1981 as British Honduras?
A:",Which modern day country was known until 1981 as British Honduras?,"['crime in belize', 'belizian', 'belize', 'crown colony of belize', 'iso 3166 1 bz', 'history of belize 1981–present', 'beliz', 'balize', 'administrative divisions of belize', 'dominion of belize', 'etymology of belize', 'subdivisions of belize', 'belieze']"," Anguilla
Q: What is the name of the head of state of", Anguilla
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Complete the title of this James Bond film: """"From Russia With ... """"""
A:","""Complete the title of this James Bond film: """"From Russia With ... """"""","['loveworthy', 'latin words for love', 'sacrificial love', 'love', 'loveliest', 'true love feeling', 'idealized love', 'chemistry of love', '💑', 'idealised love', 'lovable', '愛', 'lovelier', 'lovingly', 'loving relationship', 'loves', 'prem hinduism', 'love interest']"," From Russia With Love 1963
Q: ""What is the name of", From Russia With Love 1963
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: A novel by General Lew Wallace published in 1880 was made into which films in 1926 (a silent movie) and 1959 (produced by William Wyler)?
A:",A novel by General Lew Wallace published in 1880 was made into which films in 1926 (a silent movie) and 1959 (produced by William Wyler)?,"['ben hurr', 'ben hur', 'ben hur film', 'ben hur disambiguation']"," Ben-Hur (1926), Ben-Hur (1959)
Q:"," Ben-Hur (1926), Ben-Hur (1959)"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""What poem contains the words, """"...Water, water, everywhere, Nor any drop to drink..."""" ?""
A:","""What poem contains the words, """"...Water, water, everywhere, Nor any drop to drink..."""" ?""","['rime of ancyent marinere 1798', 'rhyme of ancient mariner', 'rime of ancient mariner', 'trotam', 'life in death', 'rime of ancient marriner', 'rime ancyent marinere 1798', 'ancient mariner', 'rime of ancyent marinere']", The poem is The Rime of the Ancient Mariner by Samuel Taylor Coler, The poem is The Rime of the Ancient Mariner by Samuel Taylor Coler
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?
A:","May 4, 1904 saw the US begin construction the Canal, following the creation of the state of Panama from Columbian territory due to the iron backbone and bad-assed support of which US president?","['t ros', 'cowboy president', 'theodore roosavelt', 'trust buster', 'president theodore roosevelt', 'teddy roosvelt', 'teddy rosevelt', 't roosevelt', 'roosevelt theodore', 'feddy roosevelt', 'cowboy of dakotas', 'teddy rose', '26th president of united states', 'teddy roosevelt foreign policy', 'teddy roose', 'teodoro roosevelt', 'theodore roosevelt', 'theodor roosevelt', 't roosevelt administration', 'teddy roosevelt']","Franklin D. Roosevelt
Q: What is the name of the head of",Franklin D. Roosevelt
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?
A:","In 1984, in Bophal, India, there was a leak of 30 tons of methyl isocyanate, which resulted in the deaths of 25,000 people. What American chemical company owned the plant where the leak occurred?","['ucar batteries', 'union carbide inc', 'prest o lite', 'union carbide company', 'union carbide', 'union carbide corporation', 'union carbide and carbon corporation']"," Union Carbide
Q: What is the name of the head of state of", Union Carbide
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?
A:","What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",['manticore']," the Chimera
Q: What is the longest name in the world?
Q", the Chimera
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: ""Which 19th century Englishman went to New Zealand to be a sheep farmer, visited Canada, and wrote """"Erewhon"""", """"A Psalm of Montreal"""" and """"The Way of All Flesh""""?""
A:","""Which 19th century Englishman went to New Zealand to be a sheep farmer, visited Canada, and wrote """"Erewhon"""", """"A Psalm of Montreal"""" and """"The Way of All Flesh""""?""","['samuel butler', 'samuel butler disambiguation', 'butler samuel']"," H. G. Wells (1866-1946)
Q: ""Which", H. G. Wells (1866-1946)
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The name of which person born in Dublin is connected in English history with the locations of Vimiero, Talavera, Salamanca, Vittoria, Orthes and Waterloo?
A:","The name of which person born in Dublin is connected in English history with the locations of Vimiero, Talavera, Salamanca, Vittoria, Orthes and Waterloo?","['arthur wellesly', 'marquess of torres vedras', 'major general arthur wellesley', 'first duke of wellington', 'baron douro', '1st duke of wellington', 'marquess of wellington', 'marquês de torres vedras', 'count of vimeiro', 'lord wellington', 'duke of wellingon 1st', 'arthur wellesley first duke of wellington', 'duke of wellington arthur wellesley', 'duque da vitoria', 'duke wellington', 'viscount wellington', 'duke of wellington great duke', 'marquess douro', 'earl of wellington', 'marquis of torres vedras', 'iron duke', 'duke of wellington', 'conde de vimeiro', 'general wellington', 'arthur wesley', 'arthur wellesley 1st duke of wellington', 'arthur wellesly 1st duke of wellington', 'marques de torres vedras', 'sir arthur wellesley', 'arthur wellesley wellington', 'duke of vitoria']", The name of which person born in Dublin is connected in English history with the locations, The name of which person born in Dublin is connected in English history with the locations
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: The Freedom Cup is contested annually between the Rugby Union teams of New Zealand and which other country?
A:",The Freedom Cup is contested annually between the Rugby Union teams of New Zealand and which other country?,"['zuidafrika', 'azania south africa', 'south africans', 'zuid africa', 'suid africa', 'afrique du sud', 'saffa', 'south africa s', 'third republic south africa', 'ningizimu afrika', 'sou frica', 'iso 3166 1 za', 'soufrica', 'capital of south africa', 's afr', 'seth efrika', 'zuid afrika', 'suid afrika', 'south africaà', 's africa', 'republic of south africa', 'rep of south africa', 'south african', 'beloved country', 'south africa', 'southafrica', 'mzansi', 'republiek van suid afrika']"," New Zealand competes in the Rugby World Cup, the Women's Rugby World Cup"," New Zealand competes in the Rugby World Cup, the Women's Rugby World Cup"
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?
A:",Traditional Latin pluralization of Latin-originating words ending in 'us' is to replace the 'us' with?,"['i love series', 'i❤', 'i love', 'i ♥', '22i love 22 series', 'i♥', 'i love …', 'i heart', 'i']", Ace; jack; ten; queen; king; jack; ten; queen;, Ace; jack; ten; queen; king; jack; ten; queen;
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: In April 1814 which King gained the French throne to begin the Bourbon Restoration?
A:",In April 1814 which King gained the French throne to begin the Bourbon Restoration?,"['louis eighteenth', 'king louis xviii of france', 'king louis xviii', 'restoration of louis xviii of france', 'louis stanislas xavier de france', 'louis xviii of france', 'louis xviii']"," Louis XVIII (1775-1824)
Q: Which actress starred in", Louis XVIII (1775-1824)
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which country produces the most of the world's olive oil?
A:",Which country produces the most of the world's olive oil?,"['el reino de españa', 'iso 3166 1 es', 'kingdom of spains', 'reino de espana', 'regne d espanha', 'espagna', 'mountains of spain', 'kingdom of spain', 'name of spain', 'etymology of spain', 'regne d espanya', 'spanish kingdom', 'espainiako erresuma', 'reino de españa', 'espanya', 'espańa', 'spanish society', 'islands of spain', 'spain', 'spane', 'espainia', 'españa', 'espana', 'el reino de espana']"," Italy
Q: What is the name of the head of the Commonwealth of Nations", Italy
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: Which, then fictional, award is mentioned in the opening scene of the 1950 film ‘All About Eve’, starring Bette Davis?
A:","Which, then fictional, award is mentioned in the opening scene of the 1950 film ‘All About Eve’, starring Bette Davis?","['sarah siddons society', 'sarah siddons award']"," The Academy Award for Best Actress in a Leading Role
Q: In the BBC", The Academy Award for Best Actress in a Leading Role
"Answer these questions:
Q: The orrery, invented in 1710 by George Graham was in use for several centuries despite its inaccuracies in size and distance. What is it a model of?
Q: How many stars are on the national flag of New Zealand?
Q: ""Who produces the perfumes """"Opium"""" and """"Rive Gauche""""?""
Q: Which President of the USA has daughters named Malia Ann and Natasha or more famously Sasha ?
Q: What cereal crop is used to make single malt whisky in Scotland?
A:",What cereal crop is used to make single malt whisky in Scotland?,"['hordeum vulgare', 'baere', 'sticky barley', 'pot barley', 'wisconsin 38', 'barley grass', 'hordeum sativum', 'sanalta', 'azure barley', 'six row', 'four row', 'betzes', 'spring barley', 'golden promise', 'hordeum vulgare subsp vulgare', 'pearled barley', 'morex', 'bære', 'mansury', 'feed barley', 'manscheuri', 'six row barley', 'common barley', 'two row barley', 'winter barley', 'glutinous barley', 'barley', 'hordeum hexastichum', 'tregal', '2row', 'orzo cereal', '4row', 'scotch barley', 'h vulgare', 'chalbori', 'fall barley', 'two row', '6row', 'malting barley', 'vrs1', 'plumage archer']"," corn, barley, and rye.
Q: What is the name of the"," corn, barley, and rye."
