time,model,dataset,retomaton,knn,lambda1,lambda2,block_size,k,knn_temp,relevance_T,max_new_tokens,dstore_size,exact_match,notes
2025-03-11_19:12:49,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,20.0,sample
2025-03-11_19:25:35,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,,24.0,sample
2025-03-11_19:29:57,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,20.0,sample
2025-03-14_19:20:19,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,4.0,sample
2025-03-14_22:53:15,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,18.75,sample
2025-03-14_22:56:39,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,12.5,sample
2025-03-15_20:05:35,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,12.5,direct answer generation
2025-03-15_20:09:27,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,18.75,direct answer generation
2025-03-15_20:13:33,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,18.75,direct answer generation
2025-03-15_23:42:21,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,12.5,direct answer generation
2025-03-15_23:43:17,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,1024,1024,1.0,,24,120965366,18.75,direct answer generation
2025-03-15_23:46:43,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,12.5,direct answer generation
2025-03-15_23:47:24,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,,1024,1024,1.0,,24,120965366,18.75,direct answer generation
2025-03-16_02:13:06,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,0.1,1024,1024,1.0,10,24,120965366,34.35,GPU - local+global
2025-03-16_04:18:33,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,0.1,1024,1024,1.0,10,24,120965366,33.48,CPU - local+global
2025-03-16_11:50:41,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,0.1,1024,1024,1.0,,24,0,41.49,GPU - local
2025-03-16_12:51:57,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.25,0.1,1024,1024,1.0,,24,0,41.08,CPU - local
2025-03-16_18:12:47,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.2,0.1,1024,1024,1.0,10,24,120965366,37.07,l+g
2025-03-16_18:21:15,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.4,0.1,1024,1024,1.0,10,24,120965366,24.67,l+g
2025-03-16_23:49:24,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.05,1024,1024,1.0,10,24,120965366,40.2,l+g
2025-03-17_20:37:53,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.35,0.1,1024,1024,0.8,10,24,120965366,27.19,l+g
2025-03-17_22:16:35,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.35,0.1,1024,1024,1.0,,24,0,38.52,local
2025-03-17_22:30:30,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.1,1024,1024,1.0,,24,0,41.42,local
2025-03-17_23:40:44,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.1,1024,64,0.7,10,24,120965366,38.68,l+g
2025-03-17_23:48:11,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.1,1024,1024,0.7,,24,0,41.41,local
2025-03-18_01:52:14,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.05,1024,64,0.7,5,24,120965366,38.92,l+g at t=5
2025-03-18_02:26:18,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.05,1024,1024,1.0,5,24,120965366,39.4,l+g at t=5
2025-03-18_02:26:18,meta-llama/Llama-3.2-1B,Ritu27/Llama-3.1-8B-evals-TriviaQA-rc,False,True,0.15,0.05,1024,1024,0.7,5,24,120965366,39.08,l+g at t=5
